parent_cmdb_id,cmdb_id
frontend-2,frontend-2
frontend-2,currencyservice-0
frontend2-0,currencyservice2-0
frontend2-0,frontend2-0
checkoutservice-0,currencyservice-0
frontend-2,currencyservice-1
frontend-2,currencyservice-2
checkoutservice-0,checkoutservice-0
frontend-1,frontend-1
frontend-1,currencyservice-2
frontend-1,currencyservice-0
frontend-0,frontend-0
checkoutservice-2,checkoutservice-2
frontend-0,productcatalogservice-1
frontend-1,productcatalogservice-1
frontend-1,productcatalogservice-2
frontend-0,productcatalogservice-2
checkoutservice-2,productcatalogservice-2
frontend-1,currencyservice-1
frontend-0,currencyservice-1
frontend-0,productcatalogservice-0
frontend-1,productcatalogservice-0
frontend-0,recommendationservice-0
frontend-1,recommendationservice-0
frontend-0,shippingservice-2
frontend-2,adservice-2
recommendationservice2-0,productcatalogservice-1
recommendationservice-1,productcatalogservice-1
frontend-2,productcatalogservice-2
frontend-2,productcatalogservice-0
frontend2-0,productcatalogservice2-0
recommendationservice2-0,productcatalogservice-2
frontend-0,currencyservice-0
frontend-1,recommendationservice-2
frontend-0,recommendationservice-2
frontend-1,recommendationservice-1
frontend-0,currencyservice-2
frontend-1,shippingservice-2
frontend-2,productcatalogservice-1
recommendationservice-0,productcatalogservice-0
checkoutservice-2,currencyservice-1
checkoutservice-1,checkoutservice-1
checkoutservice-2,productcatalogservice-0
frontend-1,adservice-2
frontend-0,shippingservice-0
recommendationservice-2,productcatalogservice-2
frontend-2,shippingservice-1
checkoutservice-2,shippingservice-1
frontend-1,checkoutservice-2
frontend-2,cartservice-2
frontend-2,recommendationservice-2
recommendationservice-2,recommendationservice-2
frontend-0,recommendationservice-1
frontend2-0,recommendationservice2-0
frontend-0,adservice-0
frontend-1,adservice-1
recommendationservice-0,recommendationservice-0
frontend-2,recommendationservice-0
checkoutservice2-0,paymentservice2-0
checkoutservice2-0,checkoutservice2-0
frontend-0,cartservice-0
frontend-1,cartservice-0
frontend-2,cartservice-0
cartservice2-0,cartservice2-0
checkoutservice-1,currencyservice-0
checkoutservice-1,currencyservice-1
checkoutservice-1,paymentservice-2
checkoutservice-1,productcatalogservice-2
recommendationservice-1,productcatalogservice-2
checkoutservice2-0,productcatalogservice2-0
recommendationservice-0,productcatalogservice-1
checkoutservice-0,paymentservice-2
recommendationservice-2,productcatalogservice-0
checkoutservice-0,shippingservice-1
checkoutservice-1,shippingservice-2
frontend-1,checkoutservice-1
checkoutservice-0,productcatalogservice-1
cartservice-2,cartservice-2
cartservice-1,cartservice-1
frontend-0,adservice-2
frontend-0,adservice-1
recommendationservice2-0,recommendationservice2-0
frontend-2,adservice-0
checkoutservice2-0,emailservice2-0
cartservice-0,cartservice-0
recommendationservice-1,recommendationservice-1
frontend-2,cartservice-1
frontend-0,cartservice-1
checkoutservice-2,cartservice-1
recommendationservice-2,productcatalogservice-1
frontend-1,shippingservice-0
checkoutservice-1,cartservice-0
frontend2-0,adservice2-0
frontend-2,adservice-1
frontend2-0,shippingservice2-0
frontend2-0,cartservice2-0
checkoutservice2-0,cartservice2-0
checkoutservice-0,shippingservice-0
frontend-1,checkoutservice-0
frontend-1,adservice-0
frontend-1,cartservice-2
frontend-0,cartservice-2
frontend-1,cartservice-1
frontend-1,shippingservice-1
checkoutservice-1,currencyservice-2
checkoutservice-1,productcatalogservice-1
recommendationservice2-0,productcatalogservice-0
checkoutservice-1,shippingservice-1
checkoutservice-1,emailservice-1
frontend-2,recommendationservice-1
recommendationservice-1,productcatalogservice-0
checkoutservice-0,cartservice-2
checkoutservice-0,currencyservice-1
checkoutservice2-0,currencyservice2-0
checkoutservice2-0,shippingservice2-0
frontend-2,shippingservice-2
checkoutservice-2,shippingservice-2
checkoutservice-1,paymentservice-1
checkoutservice-1,emailservice-0
checkoutservice-2,shippingservice-0
checkoutservice-2,emailservice-2
frontend2-0,checkoutservice2-0
frontend-2,shippingservice-0
checkoutservice-2,currencyservice-0
frontend-0,checkoutservice-2
checkoutservice-0,shippingservice-2
frontend-2,checkoutservice-0
frontend-0,shippingservice-1
recommendationservice-0,productcatalogservice-2
frontend-2,checkoutservice-2
checkoutservice-1,paymentservice-0
frontend-2,checkoutservice-1
checkoutservice-0,paymentservice-1
checkoutservice-2,paymentservice-0
checkoutservice-0,currencyservice-2
checkoutservice-0,cartservice-0
checkoutservice-0,emailservice-0
checkoutservice-2,cartservice-0
checkoutservice-1,cartservice-2
checkoutservice-0,cartservice-1
checkoutservice-2,productcatalogservice-1
checkoutservice-2,currencyservice-2
checkoutservice-2,emailservice-1
checkoutservice-1,emailservice-2
checkoutservice-0,paymentservice-0
checkoutservice-0,productcatalogservice-2
checkoutservice-2,paymentservice-2
frontend-0,checkoutservice-1
checkoutservice-1,shippingservice-0
checkoutservice-2,cartservice-2
checkoutservice-0,emailservice-1
checkoutservice-0,productcatalogservice-0
checkoutservice-0,emailservice-2
checkoutservice-1,productcatalogservice-0
checkoutservice-2,paymentservice-1
checkoutservice-1,cartservice-1
frontend-0,checkoutservice-0
checkoutservice-2,emailservice-0
