log_id,timestamp,cmdb_id,log_name,value
jCGHq38B8vQa58bZEL2E,1647850227,currencyservice-2,log_currencyservice-service_application,"severity: info, message: conversion request successful"
jSGHq38B8vQa58bZEL2E,1647850227,currencyservice-0,log_currencyservice-service_application,"severity: info, message: Getting supported currencies..."
jyGHq38B8vQa58bZEL2E,1647850227,frontend-0,log_frontend-service_application,"severity: debug, message: request started"
kCGHq38B8vQa58bZEL2E,1647850227,frontend-0,log_frontend-service_application,"severity: debug, message: serving product page"
kSGHq38B8vQa58bZEL2E,1647850227,frontend-0,log_frontend-service_application,"severity: debug, message: request complete"
lCGHq38B8vQa58bZEL2E,1647850227,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[1]
liGHq38B8vQa58bZEL2E,1647850227,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[0]
mCGHq38B8vQa58bZEL2E,1647850227,cartservice-0,log_cartservice-service_application,etCartAsync called with userId=19df00fe-f8ac-42ae-8397-6f6f15b32a26
miGHq38B8vQa58bZEL2E,1647850227,cartservice-0,log_cartservice-service_application,     Executed endpoint 'gRPC - /hipstershop.CartService/GetCart'
nCGHq38B8vQa58bZEL2E,1647850227,cartservice-0,log_cartservice-service_application,     Request finished in 0.5825ms 200 application/grpc
niGHq38B8vQa58bZEL2E,1647850227,recommendationservice-2,log_recommendationservice-service_application,"severity: INFO, message: [Recv ListRecommendations] product_ids=['1YMWWN1N4O', 'OLJCESPC7Z', '6E92ZMYYFZ', 'LS4PSXUNUM', '9SIQT8TOJO']"
oCGHq38B8vQa58bZEL2E,1647850227,frontend-1,log_frontend-service_application,"severity: debug, message: request started"
pCGHq38B8vQa58bZEL2E,1647850227,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
piGHq38B8vQa58bZEL2E,1647850228,currencyservice-1,log_currencyservice-service_application,"severity: info, message: received conversion request"
pyGHq38B8vQa58bZEL2E,1647850228,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
qCGHq38B8vQa58bZEL2E,1647850228,currencyservice-1,log_currencyservice-service_application,"severity: info, message: received conversion request"
qSGHq38B8vQa58bZEL2E,1647850228,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
qiGHq38B8vQa58bZEL2E,1647850228,currencyservice-1,log_currencyservice-service_application,"severity: info, message: received conversion request"
