server,pod
node-5,checkoutservice2-0
node-5,shippingservice-0
node-5,currencyservice-2
node-5,currencyservice-0
node-6,paymentservice2-0
node-5,emailservice-1
node-6,recommendationservice2-0
node-5,emailservice2-0
node-5,emailservice-2
node-6,currencyservice2-0
node-5,paymentservice-1
node-6,adservice2-0
node-5,adservice-0
node-6,productcatalogservice2-0
node-5,cartservice-2
node-5,checkoutservice-1
node-6,frontend2-0
node-5,cartservice-0
node-5,shippingservice-2
node-5,checkoutservice-0
node-5,productcatalogservice-1
node-6,cartservice2-0
node-5,shippingservice2-0
node-5,frontend-2
node-5,paymentservice-0
node-5,recommendationservice-0
node-5,recommendationservice-1
node-5,recommendationservice-2
node-5,frontend-0
node-5,paymentservice-2
node-5,productcatalogservice-0
node-5,adservice-2
node-5,cartservice-1
node-5,adservice-1
node-5,checkoutservice-2
node-5,productcatalogservice-2
node-5,currencyservice-1
node-5,frontend-1
node-5,shippingservice-1
node-5,emailservice-0
node-5,redis-cart-0
node-5,redis-cart2-0
